YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2022,15,0,22,0,0,0,0,1,0,29000
2022,15,0,57,1,0,0,0,0,0,9600
2022,15,0,20,0,0,0,0,1,0,30000
2022,15,0,18,0,0,0,0,1,0,9500
2022,15,0,34,0,0,0,1,0,0,0
2022,15,0,29,1,0,0,0,0,0,0
2022,15,1,20,0,0,0,0,1,0,7000
2022,15,0,48,0,1,0,0,0,0,1800
2022,15,1,70,0,0,0,1,0,0,1700
2022,15,0,25,0,0,1,0,0,0,37700
2022,15,0,24,0,0,1,0,0,0,24000
2022,15,0,19,1,0,0,0,0,0,27600
2022,15,0,29,0,0,0,1,0,0,0
2022,15,1,19,1,0,0,0,0,0,35000
2022,15,0,40,0,0,0,0,1,0,1300
2022,15,1,97,0,1,0,0,0,0,19600
2022,15,0,53,0,0,0,0,0,0,0
2022,15,0,22,0,0,0,1,0,0,7700
2022,15,0,21,0,0,0,0,1,0,24000
2022,15,0,18,0,0,0,1,0,0,8000
2022,15,0,22,1,0,0,0,0,0,24000
2022,15,0,81,0,0,0,0,1,1,14400
2022,15,1,38,0,0,0,0,0,0,0
2022,15,1,26,0,0,0,0,0,0,5000
2022,15,0,75,0,0,0,0,1,1,48000
2022,15,1,37,0,0,0,0,1,1,17000
2022,15,0,23,1,0,0,0,0,0,20000
2022,15,1,76,0,0,0,0,1,1,0
2022,15,0,47,0,0,0,1,0,0,5000
2022,15,0,66,0,0,0,0,1,1,0
2022,15,0,40,0,0,0,0,1,0,1300
2022,15,0,22,0,0,0,1,0,0,7700
2022,15,0,27,0,0,0,0,0,0,8200
2022,15,0,43,0,0,0,1,0,0,11000
2022,15,0,21,0,0,0,0,1,0,24000
2022,15,0,25,0,0,0,0,1,0,33000
2022,15,0,52,1,0,0,1,0,0,0
2022,15,0,20,0,0,0,0,1,0,25000
2022,15,0,28,0,0,0,0,0,0,6000
2022,15,1,22,0,0,0,0,1,0,27000
2022,15,0,19,0,0,0,0,0,0,10000
2022,15,0,63,1,0,0,0,0,0,2300
2022,15,0,35,0,0,0,0,1,0,0
2022,15,0,19,0,0,0,0,1,0,7000
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,0,87,0,0,0,0,1,0,12000
2022,15,0,19,0,0,0,0,1,0,22000
2022,15,0,20,1,0,0,0,1,0,26900
2022,15,1,88,0,1,0,0,0,0,14900
2022,15,1,87,0,0,0,1,0,0,0
2022,15,0,24,0,0,0,1,0,0,22000
2022,15,0,21,1,0,0,0,0,0,86000
2022,15,0,28,0,0,0,0,0,0,20200
2022,15,0,73,0,1,0,0,0,0,8400
2022,15,0,20,0,0,0,0,1,0,23000
2022,15,1,91,1,0,0,0,0,0,24700
2022,15,0,81,0,0,0,0,0,0,14400
2022,15,0,25,1,0,0,0,1,0,32000
2022,15,1,89,0,1,0,0,0,0,0
2022,15,0,30,0,0,0,0,0,0,48900
2022,15,0,40,0,0,0,0,0,0,9600
2022,15,0,23,0,0,0,0,1,0,24800
2022,15,0,62,0,0,0,0,0,0,0
2022,15,1,48,0,0,0,1,0,0,0
2022,15,1,23,0,0,0,0,1,0,32000
2022,15,1,97,0,0,0,1,0,0,14600
2022,15,0,38,0,0,0,1,0,0,0
2022,15,0,25,0,0,0,0,1,0,25000
2022,15,0,21,0,0,1,0,0,0,10000
2022,15,1,55,0,0,0,1,0,1,170000
2022,15,0,21,0,0,0,0,1,0,25000
2022,15,0,19,1,0,0,0,1,0,26400
2022,15,0,21,0,0,0,0,1,0,4000
2022,15,0,20,0,0,0,0,1,0,40000
2022,15,0,45,0,0,0,0,1,0,40800
2022,15,0,24,0,0,0,0,0,0,160
2022,15,1,18,1,0,0,0,1,0,10000
2022,15,1,70,0,0,0,1,0,0,1700
2022,15,0,31,0,0,0,1,0,0,0
2022,15,0,39,0,0,0,1,0,0,0
2022,15,0,18,0,0,0,0,0,0,600
2022,15,0,24,0,1,0,0,0,1,40000
2022,15,0,84,1,0,0,0,0,0,14400
2022,15,0,20,1,0,0,0,0,0,24000
2022,15,1,70,0,0,0,1,0,0,1700
2022,15,0,20,0,0,0,1,0,0,73000
2022,15,0,23,1,0,0,0,0,0,1000
2022,15,0,20,0,0,0,0,1,0,24000
2022,15,0,20,1,0,0,0,0,0,8000
2022,15,1,19,1,0,0,0,0,0,26200
2022,15,1,19,0,0,0,0,0,0,0
2022,15,0,21,1,0,1,0,0,0,86000
2022,15,1,18,0,0,0,0,0,0,0
2022,15,0,22,0,0,1,0,0,0,26000
2022,15,0,23,0,1,0,0,0,1,20000
2022,15,0,86,0,1,0,0,0,0,12000
2022,15,1,18,0,0,0,0,1,0,12000
2022,15,1,92,0,0,0,0,0,0,0
2022,15,0,32,0,0,0,1,0,0,630
2022,15,0,33,0,0,0,1,0,0,19500
2022,15,0,31,0,0,0,1,0,0,0
2022,15,0,24,0,0,0,0,0,0,160
2022,15,0,69,0,0,0,0,1,0,0
2022,15,0,21,0,0,0,1,0,0,5300
2022,15,0,43,0,0,0,1,0,0,11000
2022,15,0,46,0,0,1,0,0,0,370
2022,15,0,23,0,0,0,0,0,0,6500
2022,15,0,26,1,0,0,0,0,0,55000
2022,15,1,32,0,0,0,0,0,0,1100
2022,15,0,22,1,0,0,0,0,0,31800
2022,15,1,89,1,0,0,0,0,0,13300
2022,15,0,19,0,0,0,0,1,0,32000
