Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A14006_001,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"72001","Adjuntas Municipio, Puerto Rico","pr","050","00",,,,"72","001",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72001","Adjuntas Municipio",,,,17975,18605,13263,3999,4134,2881,1778,408,21,42
"72003","Aguada Municipio, Puerto Rico","pr","050","00",,,,"72","003",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72003","Aguada Municipio",,,,37904,21694,28816,8676,7418,5916,5307,1297,57,145
"72005","Aguadilla Municipio, Puerto Rico","pr","050","00",,,,"72","005",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72005","Aguadilla Municipio",,,,54486,19826,40265,8985,13028,7996,6804,2522,479,451
"72007","Aguas Buenas Municipio, Puerto Rico","pr","050","00",,,,"72","007",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72007","Aguas Buenas Municipio",,,,23888,22361,17713,4289,5777,4028,2925,466,94,134
"72009","Aibonito Municipio, Puerto Rico","pr","050","00",,,,"72","009",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72009","Aibonito Municipio",,,,24610,21714,18597,3954,6767,3530,3139,853,18,336
"72011","Añasco Municipio, Puerto Rico","pr","050","00",,,,"72","011",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72011","Añasco Municipio",,,,25316,23591,19138,5195,5462,4049,3342,877,184,29
"72013","Arecibo Municipio, Puerto Rico","pr","050","00",,,,"72","013",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72013","Arecibo Municipio",,,,86875,23175,64733,12273,19666,15018,13883,2682,376,835
"72015","Arroyo Municipio, Puerto Rico","pr","050","00",,,,"72","015",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72015","Arroyo Municipio",,,,15573,18931,11296,2358,3336,2593,2395,531,0,83
"72017","Barceloneta Municipio, Puerto Rico","pr","050","00",,,,"72","017",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72017","Barceloneta Municipio",,,,22565,21750,16592,3647,5436,3504,3045,806,0,154
"72019","Barranquitas Municipio, Puerto Rico","pr","050","00",,,,"72","019",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72019","Barranquitas Municipio",,,,28984,22167,20487,4393,6313,5205,3858,584,92,42
