Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001
"01","Alabama","al","040","00",,,,"01",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US01","Alabama",,,,5054253
"02","Alaska","ak","040","00",,,,"02",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US02","Alaska",,,,733971
"04","Arizona","az","040","00",,,,"04",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US04","Arizona",,,,7268175
"05","Arkansas","ar","040","00",,,,"05",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US05","Arkansas",,,,3032651
"06","California","ca","040","00",,,,"06",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US06","California",,,,39242785
"08","Colorado","co","040","00",,,,"08",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US08","Colorado",,,,5810774
"09","Connecticut","ct","040","00",,,,"09",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US09","Connecticut",,,,3598348
"10","Delaware","de","040","00",,,,"10",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US10","Delaware",,,,1005872
"11","District of Columbia","dc","040","00",,,,"11",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US11","District of Columbia",,,,672079
"12","Florida","fl","040","00",,,,"12",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US12","Florida",,,,21928881
"13","Georgia","ga","040","00",,,,"13",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US13","Georgia",,,,10822590
"15","Hawaii","hi","040","00",,,,"15",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US15","Hawaii",,,,1445635
"16","Idaho","id","040","00",,,,"16",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US16","Idaho",,,,1893296
"17","Illinois","il","040","00",,,,"17",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US17","Illinois",,,,12692653
"18","Indiana","in","040","00",,,,"18",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US18","Indiana",,,,6811752
"19","Iowa","ia","040","00",,,,"19",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US19","Iowa",,,,3195937
"20","Kansas","ks","040","00",,,,"20",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US20","Kansas",,,,2937569
"21","Kentucky","ky","040","00",,,,"21",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US21","Kentucky",,,,4510725
"22","Louisiana","la","040","00",,,,"22",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US22","Louisiana",,,,4621025
"23","Maine","me","040","00",,,,"23",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US23","Maine",,,,1377400
"24","Maryland","md","040","00",,,,"24",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US24","Maryland",,,,6170738
"25","Massachusetts","ma","040","00",,,,"25",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US25","Massachusetts",,,,6992395
"26","Michigan","mi","040","00",,,,"26",,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0400000US26","Michigan",,,,10051595
