Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A02002_001,SE_A02002_002,SE_A02002_003,SE_A02002_004,SE_A02002_005,SE_A02002_006,SE_A02002_007,SE_A02002_008,SE_A02002_009,SE_A02002_010,SE_A02002_011,SE_A02002_012,SE_A02002_013,SE_A02002_014,SE_A02002_015,SE_A02002_016,SE_A02002_017,SE_A02002_018,SE_A02002_019,SE_A02002_020,SE_A02002_021,SE_A02002_022,SE_A02002_023,SE_A02002_024,SE_A02002_025,SE_A02002_026,SE_A02002_027,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10003_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A18009_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"1500190630","Hilo CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","90630",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500190630","Hilo CCD",,,,50408,50408,24201,26207,50408,24201,1001,1766,1560,952,2005,2886,3420,2413,3254,2768,1529,647,26207,1005,1161,1994,943,2105,3029,3128,2763,3761,3275,1807,1236,50408,2006,2927,3554,1895,4110,5915,6548,5176,7015,6043,3336,1883,50408,8648,446,32,15780,6894,587,18021,2.75,24208,22504,1704,78267,1346,35916,1982,33934,23800,12054,4570,2085,843,35916,1982,10134,11746,7484,2485,1242,843
"1500190720","Honokaa-Kukuihaele CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","90720",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500190720","Honokaa-Kukuihaele CCD",,,,3789,3789,1956,1833,3789,1956,141,193,143,91,168,95,150,245,273,289,147,21,1833,28,93,139,47,239,155,225,255,322,153,133,44,3789,169,286,282,138,407,250,375,500,595,442,280,65,3789,966,0,0,936,401,8,1478,3.15,1874,1702,172,82896,1135,2507,227,2280,1448,626,234,72,0,2507,227,832,822,392,162,72,0
"1500191170","Kau CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","91170",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500191170","Kau CCD",,,,8184,8184,4109,4075,8184,4109,204,244,132,100,217,497,510,563,444,789,369,40,4075,341,215,385,32,218,300,413,390,612,776,348,45,8184,545,459,517,132,435,797,923,953,1056,1565,717,85,8184,2685,111,52,1222,491,156,3467,2.45,3150,2741,409,50313,898,6096,543,5553,3199,1211,535,112,12,6096,543,2354,1988,676,423,100,12
"1500191350","Keaau-Mountain View CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","91350",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500191350","Keaau-Mountain View CCD",,,,39399,39399,20568,18831,39399,20568,1082,1366,1345,837,1377,1719,2936,2595,2929,2929,1187,266,18831,1452,746,1310,560,1322,1776,2295,2453,2762,2776,1051,328,39399,2534,2112,2655,1397,2699,3495,5231,5048,5691,5705,2238,594,39399,11861,390,288,6546,5150,478,14686,2.69,16891,15902,989,66586,1280,28002,2310,25692,15734,6425,2242,470,313,28002,2310,9958,9309,4183,1772,157,313
"1500192430","North Hilo CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92430",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192430","North Hilo CCD",,,,1733,1733,790,943,1733,790,33,94,60,0,55,44,74,44,76,228,53,29,943,54,56,53,26,26,181,132,38,181,152,32,12,1733,87,150,113,26,81,225,206,82,257,380,85,41,1733,599,55,0,287,197,72,523,2.68,625,561,64,64088,1296,1276,89,1187,636,321,156,40,16,1276,89,551,315,165,116,24,16
"1500192520","North Kohala CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92520",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192520","North Kohala CCD",,,,6532,6532,3090,3442,6532,3090,76,242,233,164,176,331,347,323,357,525,231,85,3442,104,201,255,86,227,277,251,536,336,795,219,155,6532,180,443,488,250,403,608,598,859,693,1320,450,240,6532,1755,42,4,1172,694,42,2823,2.79,3189,3031,158,98634,1494,4768,160,4608,2942,1448,727,265,160,4768,160,1666,1494,721,462,105,160
"1500192610","North Kona CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92610",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192610","North Kona CCD",,,,46201,46201,22434,23767,46201,22434,1380,1159,1271,571,1576,3063,2337,2623,3442,3410,1287,315,23767,1300,1555,1326,752,1333,3356,2903,2558,3442,3220,1551,471,46201,2680,2714,2597,1323,2909,6419,5240,5181,6884,6630,2838,786,46201,20322,219,12,7709,5978,1139,10822,2.87,22718,21857,861,93479,1670,33978,2261,31717,22912,11930,4521,1464,373,33978,2261,8805,10982,7409,3057,1091,373
"1500192700","Paauhau-Paauilo CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92700",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192700","Paauhau-Paauilo CCD",,,,2641,2641,1218,1423,2641,1218,82,141,43,65,72,188,197,122,107,122,68,11,1423,143,115,59,47,87,179,323,107,156,110,79,18,2641,225,256,102,112,159,367,520,229,263,232,147,29,2641,659,21,29,779,250,15,888,3.24,1304,1226,78,81458,1631,1787,130,1657,1034,474,209,49,7,1787,130,623,560,265,160,42,7
"1500192790","Pahoa-Kalapana CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92790",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192790","Pahoa-Kalapana CCD",,,,10370,10370,5572,4798,10370,5572,323,364,416,244,153,507,563,646,869,1200,213,74,4798,120,210,264,198,218,572,825,530,606,951,207,97,10370,443,574,680,442,371,1079,1388,1176,1475,2151,420,171,10370,4387,45,35,1295,1403,440,2765,2.43,3391,3075,316,33449,1270,7860,708,7152,4535,1958,608,240,175,7860,708,2617,2577,1350,368,65,175
"1500192880","Papaikou-Wailea CCD, Hawaii County, Hawaii","hi","060","00",,,,"15","001","92880",,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0600000US1500192880","Papaikou-Wailea CCD",,,,4752,4752,2459,2293,4752,2459,75,122,198,97,204,304,365,271,393,265,150,15,2293,119,74,149,90,120,273,253,407,300,317,119,72,4752,194,196,347,187,324,577,618,678,693,582,269,87,4752,955,7,12,1233,620,110,1815,2.83,2407,2232,175,80109,1277,3504,307,3197,2306,1097,357,153,125,3504,307,891,1209,740,204,28,125
