country,gdp_billions
United States of America,21439.453
China,14140.163
Japan,5154.475
Germany,3863.344
India,2935.57
Great Britain,2743.586
France,2707.074
Italy,1988.636
Brazil,1847.02
Canada,1730.914
Russia,1637.892
South Korea,1629.532
Spain,1397.87
Australia,1376.255
Mexico,1274.175
Indonesia,1111.713
Netherlands,902.355
Saudi Arabia,779.289
Turkey,743.708
Switzerland,715.36
Taiwan,586.104
Poland,565.854
Thailand,529.177
Sweden,528.929
Belgium,517.609
Iran,458.5
Austria,447.718
Nigeria,446.543
Argentina,445.469
United Arab Emirates,405.771
Norway,417.627
Israel,387.717
Hong Kong,372.989
Ireland,384.94
Malaysia,365.303
Singapore,362.818
South Africa,358.839
Philippines,356.814
Denmark,347.176
Colombia,327.895
Bangladesh,317.465
Egypt,302.256
Chile,294.237
Pakistan,284.214
Finland,269.654
Vietnam,261.637
Czech Republic,246.953
Romania,243.698
Portugal,236.408
Peru,228.989
Iraq,224.462
Greece,214.012
New Zealand,204.671
Qatar,191.849
Algeria,172.781
Hungary,170.407
Kazakstan,170.326
Ukraine,150.401
Kuwait,137.591
Morocco,119.04
Ecuador,107.914
Slovakia,106.552
Puerto Rico,99.913
Kenya,98.607
Angola,91.527
Ethiopia,91.166
Dominican Republic,89.475
Sri Lanka,86.566
Guatemala,81.318
Oman,76.609
Venezuela,70.14
Luxembourg,69.453
Panama,68.536
Ghana,67.077
Bulgaria,66.25
Myanmar,65.994
Tanzania,62.224
Belarus,62.572
Costa Rica,61.021
Croatia,60.702
Uzbekistan,60.49
Uruguay,59.918
Lebanon,58.565
Macau,55.136
Slovenia,54.154
Lithuania,53.641
Serbia,51.523
"Congo, Democratic Republic of the",48.994
Azerbaijan,47.171
Turkmenistan,46.674
Ivory Coast,44.439
Jordan,44.172
Bolivia,42.401
Paraguay,40.714
Tunisia,38.732
Cameroon,38.632
Bahrain,38.184
Latvia,35.045
Libya,33.018
Estonia,31.038
Sudan,30.873
Uganda,30.666
Yemen,29.855
Nepal,29.813
El Salvador,26.871
Cambodia,26.73
Honduras,24.449
Cyprus,24.28
Zambia,23.946
Senegal,23.94
Iceland,23.918
Papua New Guinea,23.587
Trinidad and Tobago,22.607
Bosnia and Herzegovina,20.106
Laos,19.127
Afghanistan,18.734
Botswana,18.69
Mali,17.647
Gabon,16.877
Georgia,15.925
Jamaica,15.702
Albania,15.418
Mozambique,15.093
Malta,14.859
Burkina Faso,14.593
Mauritius,14.391
Benin,14.374
Namibia,14.368
Mongolia,13.637
Armenia,13.444
Guinea,13.368
Zimbabwe,12.818
North Macedonia,12.672
Bahamas,12.664
Madagascar,12.55
Nicaragua,12.528
Brunei,12.455
Equatorial Guinea,12.142
Moldova,11.688
Congo,11.576
Chad,11.026
Rwanda,10.209
Niger,9.443
Haiti,8.819
Kyrgyzstan,8.261
Tajikistan,8.152
Kosovo,7.996
Malawi,7.522
Maldives,5.786
Togo,5.502
Mauritania,5.651
Montenegro,5.424
Fiji,5.708
Barbados,5.189
Somalia,4.958
Eswatini,4.657
Sierra Leone,4.229
Guyana,4.121
Suriname,3.774
South Sudan,3.681
Burundi,3.573
Liberia,3.221
Djibouti,3.166
Timor-Leste,2.938
Aruba,2.903
Bhutan,2.842
Lesotho,2.741
Central African Republic,2.321
Eritrea,2.11
Belize,2.001
St. Lucia,1.992
Gambia,1.773
Antigua and Barbuda,1.688
Seychelles,1.644
San Marino,1.591
Solomon Islands,1.44
Grenada,1.238
Comoros,1.179
St. Kitts and Nevis,1.032
Vanuatu,0.951
Samoa,0.905
St. Vincent and the Grenadines,0.856
Dominica,0.593
Tonga,0.488
São Tomé and Príncipe,0.43
"Micronesia, Federated States of",0.381
Palau,0.291
Marshall Islands,0.22
Kiribati,0.184
Tuvalu,0.042
