state,county_name,county_fips,Trump,Biden
ALABAMA,AUTAUGA,1001,19838,7503
ALABAMA,BALDWIN,1003,83544,24578
ALABAMA,BARBOUR,1005,5622,4816
ALABAMA,BIBB,1007,7525,1986
ALABAMA,BLOUNT,1009,24711,2640
ALABAMA,BULLOCK,1011,1146,3446
ALABAMA,BUTLER,1013,5458,3965
ALABAMA,CALHOUN,1015,35101,15216
ALABAMA,CHAMBERS,1017,8753,6365
ALABAMA,CHEROKEE,1019,10583,1624
ALABAMA,CHILTON,1021,16085,3073
ALABAMA,CHOCTAW,1023,4296,3127
ALABAMA,CLARKE,1025,7324,5755
ALABAMA,CLAY,1027,5601,1267
ALABAMA,CLEBURNE,1029,6484,675
ALABAMA,COFFEE,1031,16899,5076
ALABAMA,COLBERT,1033,19203,8343
ALABAMA,CONECUH,1035,3442,2966
ALABAMA,COOSA,1037,3631,1796
ALABAMA,COVINGTON,1039,14586,2721
ALABAMA,CRENSHAW,1041,4864,1700
ALABAMA,CULLMAN,1043,36880,4478
ALABAMA,DALE,1045,14303,5170
ALABAMA,DALLAS,1047,5524,12230
ALABAMA,DEKALB,1049,24767,4281
ALABAMA,ELMORE,1051,30164,10367
ALABAMA,ESCAMBIA,1053,10869,4918
ALABAMA,ETOWAH,1055,35528,11567
ALABAMA,FAYETTE,1057,7300,1395
ALABAMA,FRANKLIN,1059,10376,2086
ALABAMA,GENEVA,1061,10848,1595
ALABAMA,GREENE,1063,875,3884
ALABAMA,HALE,1065,3192,4663
ALABAMA,HENRY,1067,6607,2606
ALABAMA,HOUSTON,1069,32618,12917
ALABAMA,JACKSON,1071,19670,3717
ALABAMA,JEFFERSON,1073,138843,181688
ALABAMA,LAMAR,1075,6174,978
ALABAMA,LAUDERDALE,1077,31721,11915
ALABAMA,LAWRENCE,1079,12322,3562
ALABAMA,LEE,1081,42221,27860
ALABAMA,LIMESTONE,1083,34640,13672
ALABAMA,LOWNDES,1085,1836,4972
ALABAMA,MACON,1087,1541,7108
ALABAMA,MADISON,1089,102780,87286
ALABAMA,MARENGO,1091,5343,5488
ALABAMA,MARION,1093,12205,1463
ALABAMA,MARSHALL,1095,33191,5943
ALABAMA,MOBILE,1097,101243,79474
ALABAMA,MONROE,1099,6147,4455
ALABAMA,MONTGOMERY,1101,33311,64529
ALABAMA,MORGAN,1103,39664,13234
ALABAMA,PERRY,1105,1339,3860
ALABAMA,PICKENS,1107,5594,4022
ALABAMA,PIKE,1109,8042,5636
ALABAMA,RANDOLPH,1111,8559,2203
ALABAMA,RUSSELL,1113,9864,11228
ALABAMA,SHELBY,1117,79700,33268
ALABAMA,ST. CLAIR,1115,36166,7744
ALABAMA,SUMTER,1119,1598,4648
ALABAMA,TALLADEGA,1121,22235,13138
ALABAMA,TALLAPOOSA,1123,14963,5859
ALABAMA,TUSCALOOSA,1125,51117,37765
ALABAMA,WALKER,1127,26002,4834
ALABAMA,WASHINGTON,1129,6564,2258
ALABAMA,WILCOX,1131,1833,4048
ALABAMA,WINSTON,1133,10195,974
ALASKA,DISTRICT 1,2001,3511,3477
ALASKA,DISTRICT 10,2010,8081,2727
ALASKA,DISTRICT 11,2011,7096,3130
ALASKA,DISTRICT 12,2012,7893,2957
ALASKA,DISTRICT 13,2013,4652,2666
ALASKA,DISTRICT 14,2014,6714,4261
ALASKA,DISTRICT 15,2015,2671,2622
ALASKA,DISTRICT 16,2016,3516,4274
ALASKA,DISTRICT 17,2017,2810,4136
