county_fips,cntyname,longitude,latitude
1001,Autauga AL,-86.642476,32.53694
1003,Baldwin AL,-87.72016,30.733107
1005,Barbour AL,-85.399374,31.869162
1007,Bibb AL,-87.12666,32.998267
1009,Blount AL,-86.567624,33.981307
1011,Bullock AL,-85.716319,32.100472
1013,Butler AL,-86.680508,31.75213
1015,Calhoun AL,-85.825204,33.771379
1017,Chambers AL,-85.392919,32.913454
1019,Cherokee AL,-85.602414,34.17442
1021,Chilton AL,-86.720698,32.847289
1023,Choctaw AL,-88.264734,32.019905
1025,Clarke AL,-87.830455,31.678493
1027,Clay AL,-85.860194,33.269028
1029,Cleburne AL,-85.519357,33.674358
1031,Coffee AL,-85.988021,31.402573
1033,Colbert AL,-87.804653,34.696138
1035,Conecuh AL,-86.994007,31.4291
1037,Coosa AL,-86.245317,32.936528
1039,Covington AL,-86.451251,31.24811
1041,Crenshaw AL,-86.314031,31.731393
1043,Cullman AL,-86.865043,34.133538
1045,Dale AL,-85.610781,31.43185
1047,Dallas AL,-87.106808,32.325837
1049,DeKalb AL,-85.804348,34.459598
1051,Elmore AL,-86.151392,32.593505
1053,Escambia AL,-87.16225,31.126349
1055,Etowah AL,-86.035604,34.047342
1057,Fayette AL,-87.738916,33.72145
1059,Franklin AL,-87.842439,34.440673
1061,Geneva AL,-85.838394,31.095156
1063,Greene AL,-87.952857,32.855129
1065,Hale AL,-87.627693,32.762809
1067,Henry AL,-85.242941,31.512955
1069,Houston AL,-85.302355,31.15321
1071,Jackson AL,-86.000522,34.78418
1073,Jefferson AL,-86.895443,33.554682
1075,Lamar AL,-88.096921,33.77892
1077,Lauderdale AL,-87.648684,34.905655
1079,Lawrence AL,-87.313278,34.514209
1081,Lee AL,-85.356599,32.600411
1083,Limestone AL,-86.977199,34.819678
1085,Lowndes AL,-86.65001,32.152714
1087,Macon AL,-85.692467,32.38602
1089,Madison AL,-86.54949,34.764718
1091,Marengo AL,-87.789025,32.246654
1093,Marion AL,-87.887402,34.136308
1095,Marshall AL,-86.310107,34.362162
1097,Mobile AL,-88.208898,30.789258
1099,Monroe AL,-87.364344,31.570845
1101,Montgomery AL,-86.206228,32.2179
1103,Morgan AL,-86.85159,34.449658
1105,Perry AL,-87.294384,32.63851
1107,Pickens AL,-88.086902,33.281702
1109,Pike AL,-85.940726,31.802657
1111,Randolph AL,-85.458709,33.293852
1113,Russell AL,-85.18617,32.288829
1115,St. Clair AL,-86.317405,33.718155
1117,Shelby AL,-86.6633,33.264459
1119,Sumter AL,-88.199684,32.589432
1121,Talladega AL,-86.163763,33.37845
1123,Tallapoosa AL,-85.792016,32.866248
1125,Tuscaloosa AL,-87.525237,33.289029
1127,Walker AL,-87.298181,33.803737
1129,Washington AL,-88.20926,31.407994
1131,Wilcox AL,-87.306643,31.986853
1133,Winston AL,-87.379049,34.151691
2013,Aleutians East Borough AK,-162.029771,55.3588
2016,Aleutians West Census Area AK,-174.447324,52.100419
2020,Anchorage Borough AK,-149.112953,61.148103
2050,Bethel Census Area AK,-159.71056,60.924555
2060,Bristol Bay Borough AK,-156.704996,58.75253
2068,Denali Borough AK,-150.072607,63.717117
2070,Dillingham Census Area AK,-158.071716,59.87576
2090,Fairbanks North Star Borough AK,-146.636604,64.796778
2100,Haines Borough AK,-135.479884,59.085465
2105,Hoonah-Angoon Census Area,-135.35832,58.159638
2110,Juneau Borough AK,-134.147457,58.466095
2122,Kenai Peninsula Borough AK,-151.642964,60.205168
2130,Ketchikan Gateway Borough AK,-130.946197,55.615513
2150,Kodiak Island Borough AK,-153.881251,57.691846
2164,Lake and Peninsula Borough AK,-156.304613,58.570127
2170,Matanuska-Susitna Borough AK,-149.586458,62.309015
2180,Nome Census Area AK,-163.940492,64.872448
2185,North Slope Borough AK,-153.394493,69.287589
2188,Northwest Arctic Borough AK,-159.799116,67.028996
2195,Petersburg Census Area,-133.285632,56.834479
2198,Prince of Wales-Hyder Census Area,-132.684665,55.510945
2220,Sitka Borough AK,-135.3795,57.231678
2230,Skagway Municipality,-135.344505,59.546932
2240,Southeast Fairbanks Census Area AK,-143.196638,63.854017
2261,Valdez-Cordova Census Area AK,-144.438156,61.574167
2270,Wade Hampton Census Area AK (D),-163.345674,62.161982
2275,Wrangell City and Borough,-131.945583,56.344204
2282,Yakutat Borough,-140.356432,59.905904
2290,Yukon-Koyukuk Census Area AK,-151.617414,65.407578
4001,Apache AZ,-109.489172,35.384796
4003,Cochise AZ,-109.750952,31.876888
4005,Coconino AZ,-111.770211,35.833225
4007,Gila AZ,-110.810854,33.799894
4009,Graham AZ,-109.883145,32.925597
4011,Greenlee AZ,-109.236117,33.214354
4012,La Paz AZ,-113.982216,33.727294
4013,Maricopa AZ,-112.493754,33.346065
4015,Mohave AZ,-113.753258,35.697115
4017,Navajo AZ,-110.319895,35.390531
4019,Pima AZ,-111.790034,32.096962
