id,name,host_id,host_name,host_since,host_listings_count,street,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,year,month
7853310,Island Colony 1214,9286303,RA Rentals,2013-10-07,818,"Seaside Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.2809857064128,-157.82689886504807,TRUE,Condominium,Entire home/apt,2,2016,1
7854689,The Banyan 2814,9286303,RA Rentals,2013-10-07,818,"Ohua Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.27578622079546,-157.8204917548093,TRUE,Condominium,Entire home/apt,4,2016,1
7837088,Island Colony 2717,9286303,RA Rentals,2013-10-07,818,"Seaside Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.282185274181057,-157.82628169272135,TRUE,Condominium,Entire home/apt,2,2016,1
7856574,Island Colony 2511,9286303,RA Rentals,2013-10-07,818,"Seaside Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.281644573727473,-157.82540022893303,TRUE,Condominium,Entire home/apt,2,2016,1
2142960,Aqua Palms incl Free WiFi & Parking,10937460,Martin,2014-01-01,1,"Ala Moana Boulevard, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.283998845067185,-157.8364324584345,TRUE,Apartment,Entire home/apt,3,2016,1
4714855,Sunset Beach House,24244347,William,2014-11-28,7,"A Ke Nui, Haleiwa, HI 96712, United States",Haleiwa,HI,96712,Oahu,"Haleiwa, HI",US,United States,21.6713340557301,-158.0436901337026,TRUE,House,Entire home/apt,8,2016,1
10120979,Refreshing 3BR Waianae House w/Wifi,48618586,Evolve Vacation Rental,2015-11-09,131,"Leihoku Street, Waiʻanae, HI 96792, United States",Waiʻanae,HI,96792,Oahu,"Waiʻanae, HI",US,United States,21.436120618978087,-158.17668334228807,TRUE,House,Entire home/apt,10,2016,1
7837626,Island Colony 4312,9286303,RA Rentals,2013-10-07,818,"Seaside Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.28150253678371,-157.82662505066685,TRUE,Condominium,Entire home/apt,3,2016,1
7825086,Monte Vista 1704,9286303,RA Rentals,2013-10-07,818,"Liliuokalani Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.276275728329352,-157.82056082243875,TRUE,Condominium,Entire home/apt,6,2016,1
7853734,Island Colony 915,9286303,RA Rentals,2013-10-07,818,"Seaside Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.280086760545764,-157.8250658792438,TRUE,Condominium,Entire home/apt,4,2016,1
7854374,The Banyan 3804,9286303,RA Rentals,2013-10-07,818,"Ohua Avenue, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.274231402016998,-157.82060259112336,TRUE,Condominium,Entire home/apt,4,2016,1
5524641,Waikiki Marina Studio (The Ilikai),6346492,Dana,2013-05-12,70,"Ala Moana Boulevard, Honolulu, HI 96815, United States",Honolulu,HI,96815,Oahu,"Honolulu, HI",US,United States,21.285838891162623,-157.82791874684347,TRUE,Apartment,Entire home/apt,4,2016,1
